ID,NAME,ABBR,GEOM0LAT,GEOM0LON,GEOM0BBOX,GEOM0AREA,LINEAGE0COUNTRY0ID,LINEAGE0COUNTRY0NAME,LINEAGE0COUNTRY0ABBR,LINEAGE0MACROREGION0ID,LINEAGE0MACROREGION0NAME,LINEAGE0MACROREGION0ABBR,LINEAGE0REGION0ID,LINEAGE0REGION0NAME,LINEAGE0REGION0ABBR,LINEAGE0LOCALADMIN0ID,LINEAGE0LOCALADMIN0NAME,LINEAGE0LOCALADMIN0ABBR,LINEAGE0LOCALITY0ID,LINEAGE0LOCALITY0NAME,LINEAGE0LOCALITY0ABBR,PLACETYPE
0340819304,Valdenuño Fernández,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819304,Valdenuño Fernández,,,,,localadmin
0340819305,Valdepeñas de la Sierra,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819305,Valdepeñas de la Sierra,,,,,localadmin
0340819306,Valderrebollo,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819306,Valderrebollo,,,,,localadmin
0340819307,Valdesotos,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819307,Valdesotos,,,,,localadmin
0340819308,Valfermoso de Tajuña,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819308,Valfermoso de Tajuña,,,,,localadmin
0340819309,Valhermoso,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819309,Valhermoso,,,,,localadmin
0340819310,Valtablado del Río,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819310,Valtablado del Río,,,,,localadmin
0340819311,Valverde de los Arroyos,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819311,Valverde de los Arroyos,,,,,localadmin
0340819314,Viana de Jadraque,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819314,Viana de Jadraque,,,,,localadmin
0340819317,Villanueva de Alcorón,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819317,Villanueva de Alcorón,,,,,localadmin
0340819318,Villanueva de Argecilla,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819318,Villanueva de Argecilla,,,,,localadmin
0340819319,Villanueva de la Torre,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819319,Villanueva de la Torre,,,,,localadmin
0340819321,Villares de Jadraque,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819321,Villares de Jadraque,,,,,localadmin
0340819322,Villaseca de Henares,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819322,Villaseca de Henares,,,,,localadmin
0340819323,Villaseca de Uceda,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819323,Villaseca de Uceda,,,,,localadmin
0340819324,Villel de Mesa,,40.81303,-2.63426,"-4.33381,40.15420,-1.53680,41.32800",12310.91191,034,España,ES,03408,Castilla La Mancha,,0340819,Guadalajara,,0340819324,Villel de Mesa,,,,,localadmin
